_id,_info,_model,cabriolet,city,country,info,make,mileage,model,post_time,price,state,transmission,turbo,year,color
400, 2008 Porsche 911 Carrera S w/ Aero Kit Full Leather Sport Seats Bose CF Package,Carrera S,FALSE,Scottsdale,USA," 2008 Porsche 911 Carrera S w/ Aero Kit, Full Leather, Sport Seats, Bose, CF Package",Porsche,74200,911,2019-12-09T08:28:00.000Z,39000,AZ,Automatic,FALSE,2008,red
401,Porsche Cayman 987.2',Cayman,FALSE,Chicago,USA,Porsche Cayman 987.2',Porsche,28000,Cayman,2019-12-23T22:36:00.000Z,31000,IL,Manual,FALSE,2011,gray
402,2010 911 Turbo,Turbo,FALSE,Beachwood,USA,2010 911 Turbo,Porsche,37616,911,2019-12-21T19:44:00.000Z,75994,OH,Automatic,TRUE,2010,silver
403,2012 911S Guards Red Coupe,Carrera S,FALSE,Austin,USA,2012 911S Guards Red Coupe,Porsche,32600,911,2019-12-20T02:17:00.000Z,66000,TX,Automatic,FALSE,2012,red
404,2007 Carrera S Meteor Gray,Carrera S,FALSE,Houston,USA,2007 Carrera S Meteor Gray,Porsche,68750,911,2019-12-16T06:15:00.000Z,38000,TX,Manual,FALSE,2007,gray
405,2011 Porsche 911 C4S Cabriolet PDK + Sports Package + More,Carrera 4S,TRUE,Palisades Park,USA,2011 Porsche 911 C4S Cabriolet PDK + Sports Package + More,Porsche,37000,911,2019-12-16T04:36:00.000Z,53000,NJ,Automatic,FALSE,2011,silver
406,2006 Cayman S.,Cayman S,FALSE,Southampton,USA,2006 Cayman S.,Porsche,90800,Cayman,2019-12-13T21:50:00.000Z,19500,PA,Manual,FALSE,2006,unknown
407,Beautiful Dark Blue Porsche 2011 911 Turbo S Cabriolet,Turbo S,TRUE,Cincinnati,USA,Beautiful Dark Blue Porsche 2011 911 Turbo S Cabriolet,Porsche,12525,911,2019-12-10T22:06:00.000Z,89000,OH,Manual,TRUE,2011,blue
408,2010 Porsche 911 GT3 in Basalt Black with Black interior,GT3,FALSE,Knoxville,USA,2010 Porsche 911 GT3 in Basalt Black with Black interior,Porsche,27918,911,2019-12-11T01:58:00.000Z,104997,TN,Manual,FALSE,2010,black
409,2007 Cayman S - Roller,Cayman S,FALSE,San Diego Ca,USA,2007 Cayman S - Roller,Porsche,165000,Cayman,2019-12-10T03:20:00.000Z,6000,CA,Manual,FALSE,2007,blue
410,2009 997.2 Carrera 4S Sport Chrono PDK Meteor Grey Full Leather 63.3k miles,Carrera 4S,FALSE,Issaquah,USA,"2009 997.2 Carrera 4S, Sport Chrono, PDK, Meteor Grey, Full Leather, 63.3k miles",Porsche,63359,911,2020-01-03T01:30:00.000Z,52400,WA,Automatic,FALSE,2009,gray
411,2005 Porsche 911 Carrera S,Carrera S,FALSE,Rockledge,USA,2005 Porsche 911 Carrera S,Porsche,52400,911,2020-01-01T16:19:00.000Z,42400,FL,Automatic,FALSE,2005,silver
412,2007 Porsche Cayman S Auto Tiptronic Beauty,Cayman S,FALSE,Orange County,USA,2007 Porsche Cayman S Auto Tiptronic Beauty,Porsche,77750,Cayman,2020-01-01T01:36:00.000Z,24800,CA,Automatic,FALSE,2007,gray
413,2009 Porsche 911 Carrera Cabriolet 997.2 PDK (22k miles),Carrera,TRUE,Staten Island,USA,2009 Porsche 911 Carrera Cabriolet 997.2 PDK (22k miles),Porsche,22285,911,2019-12-29T07:20:00.000Z,45500,NY,Automatic,FALSE,2009,gray
414,2007 Cayman S Ultimate street & track,Cayman S,FALSE,Prosper,USA,2007 Cayman S Ultimate street & track,Porsche,52000,Cayman,2019-12-29T02:54:00.000Z,36000,TX,Manual,FALSE,2007,black
415,2009 911 Carrera S (997.2 THE LAST OF THE PURE DRIVER'S CAR),Carrera S,FALSE,Union City,USA,"2009 911 Carrera S (997.2, THE LAST OF THE PURE DRIVER'S CAR)",Porsche,56483,911,2019-12-28T11:21:00.000Z,54999,CA,Manual,FALSE,2009,white
416,2011 911 Turbo S,Turbo S,FALSE,Atlanta,USA,2011 911 Turbo S,Porsche,34000,911,2019-12-27T10:03:00.000Z,89000,GA,Automatic,TRUE,2011,white
417,Carrera 4S manual,Carrera 4S,FALSE,Chicago,USA,Carrera 4S manual,Porsche,45000,911,2019-12-28T03:05:00.000Z,45000,IL,Manual,FALSE,2006,black
418,2006 cayman s 3.6l 997 engine swap!,Cayman S,FALSE,Agoura Hills,USA,2006 cayman s 3.6l 997 engine swap!,Porsche,116000,Cayman,2019-12-28T04:20:00.000Z,26000,CA,Manual,FALSE,2006,silver
419,2009 Porsche 911S 997.2 6MT (58K miles),Carrera S,FALSE,Houston,USA,2009 Porsche 911S 997.2 6MT (58K miles),Porsche,58406,911,2019-12-28T10:08:00.000Z,45000,TX,Manual,FALSE,2009,gray
420,'11 Cayman silver/black 6MT LSD sport seats sport chrono NEW trans 7k mi. ago!,Cayman,FALSE,Pawtucket,USA,"'11 Cayman, silver/black, 6MT, LSD, sport seats, sport chrono, NEW trans 7k mi. ago!",Porsche,76200,Cayman,2020-02-01T05:23:00.000Z,25000,RI,Manual,FALSE,2011,silver
421,2010 997.2 C4S Arctic Silver 6-sp Manual Clean Complete Excellent Cond 36800 mi,Carrera 4S,FALSE,Louisville,USA,"2010 997.2 C4S Arctic Silver, 6-sp Manual, Clean, Complete, Excellent Cond, 36,800 mi",Porsche,36800,911,2020-01-30T04:16:00.000Z,62500,KY,Manual,FALSE,2010,silver
422,2012 911 TTS Edition 918 Spyder,Turbo S,FALSE,Orlando,USA,2012 911 TTS Edition 918 Spyder,Porsche,13500,911,2020-01-29T05:58:00.000Z,164999,FL,Automatic,FALSE,2012,black
423,2005 Porsche 911 Turbo Cabriolet,Turbo,TRUE,Tega Cay,USA,2005 Porsche 911 Turbo Cabriolet,Porsche,61400,911,2020-01-28T22:20:00.000Z,45900,SC,Manual,TRUE,2005,red
424,2009 Porsche Turbo Cabriolet 6-speed Manual,Turbo,TRUE,Twinsburg,USA,2009 Porsche Turbo Cabriolet 6-speed Manual,Porsche,26600,911,2020-01-29T01:11:00.000Z,86980,OH,Manual,TRUE,2009,red
425,2012 Porsche 911S 991.1 29K miles,Carrera S,FALSE,Miami,USA,2012 Porsche 911S 991.1 29K miles,Porsche,29500,911,2020-01-26T02:41:00.000Z,61000,FL,Automatic,FALSE,2012,white
426,2007 Porsche Turbo Coupe 6600 Miles Gorgeous 2007 Porsche Turbo Coupe 6600 Mi HP Mods,Turbo,FALSE,Huntington,USA,2007 Porsche Turbo Coupe 6600 Miles Gorgeous 2007 Porsche Turbo Coupe 6600 Mi HP Mods,Porsche,6600,911,2020-01-27T19:33:00.000Z,95000,NY,Automatic,TRUE,2007,silver
427,2012 Porsche 911 Turbos S Coupe 918 Spyder Edition,Turbo,FALSE,Kennesaw,USA,2012 Porsche 911 Turbos S Coupe 918 Spyder Edition,Porsche,11625,911,2020-01-23T21:55:00.000Z,159000,GA,Automatic,TRUE,2012,black
428,2010 Porsche 911 Carrera Cabriolet,Carrera,TRUE,San Diego,USA,2010 Porsche 911 Carrera Cabriolet,Porsche,82900,911,2020-01-22T06:02:00.000Z,37999,CA,Automatic,FALSE,2010,black
429,2005 911S X-51,Carrera S,FALSE,Redding,USA,2005 911S X-51,Porsche,88500,911,2020-01-17T10:01:00.000Z,46000,CA,Manual,FALSE,2005,silver
430,Atlas Gray 2010 997.2 C2S PDK - ~33800K miles,Carrera S,FALSE,Austin,USA,"Atlas Gray 2010 997.2 C2S PDK - ~33,800K miles",Porsche,33791,911,2020-01-20T03:54:00.000Z,53000,TX,Automatic,FALSE,2010,gray
431,2012 Porsche Cayman S Black Edition 36k mi 6MT-PCCB-Carbon Buckets-PASM,Cayman S,FALSE,Santa Cruz,USA,2012 Porsche Cayman S Black Edition 36k mi 6MT-PCCB-Carbon Buckets-PASM,Porsche,36100,Cayman,2020-01-14T00:07:00.000Z,0,CA,Manual,FALSE,2012,black
432,***ROLLER*** 2005 997.1S TIPTRONIC *** 997 ROLLER,Carrera S,FALSE,Georgetown,USA,***ROLLER*** 2005 997.1S TIPTRONIC *** 997 ROLLER,Porsche,127000,911,2020-01-20T06:13:00.000Z,12000,TX,Automatic,FALSE,2005,black
433,Pristine 2012 911 Turbo Cab with under 8700miles,Turbo,TRUE,Mt Pleasant,USA,Pristine 2012 911 Turbo Cab with under 8700miles,Porsche,8700,911,2020-01-14T00:05:00.000Z,90000,SC,Automatic,TRUE,2012,black
434,Turbo 911 (997.2)  PDK. Black on Black,Turbo,FALSE,Columbus,USA,Turbo 911 (997.2)  PDK. Black on Black,Porsche,32000,911,2020-01-14T05:24:00.000Z,79000,OH,Automatic,TRUE,2010,black
435,2009 Porsche 911 Turbo - Meteor Grey Metallic -- MINT!,Turbo,FALSE,Scottsdale,USA,2009 Porsche 911 Turbo - Meteor Grey Metallic -- MINT!,Porsche,44400,911,2020-01-13T22:45:00.000Z,82000,AZ,Automatic,TRUE,2009,gray
436,2012 Porsche 991 C2S well equipped with original price at $135000 MSRP,Carrera S,FALSE,San Mateo,USA,"2012 Porsche 991 C2S well equipped with original price at $135,000 MSRP",Porsche,18860,911,2020-01-11T03:17:00.000Z,75000,CA,Automatic,FALSE,2012,blue
437,2009 Porsche Carrera PDK - Excellent Condition 42k miles,Carrera,FALSE,San Francisco,USA,2009 Porsche Carrera PDK - Excellent Condition 42k miles,Porsche,42200,911,2020-01-08T05:28:00.000Z,39500,CA,Automatic,FALSE,2009,black
